gene,c,coeff,pval,importance,group,scaled
ASF1B,ELP2,-0.116431723560244,0.00366660477074,0.044445345215496,ec,0.019280014660324835
ASF1B,ELP3,-0.224710192891979,1.50474487154625e-8,0.093234747276587,ec,0.04046161851970499
ASF1B,ENDOV,0.157261347807129,8.30061162242783e-5,0.062716376275762,ec,0.027212264814495533
ASF1B,ERBB2,0.132147739911314,9.63555974637e-4,0.065552813773514,ec,0.02844368583855411
ASF1B,GTF2F2,-0.102924215060724,0.01027277437942,0.05115167611274,ec,0.02219152491489768
ASF1B,HDAC2,-0.221237943897486,2.52851625931472e-8,0.098591315144901,ec,0.0427871378710273
ASF1B,LMNA,0.118727719307697,0.003044530080791,0.043914278600073,ec,0.01904945551846967
ASF1B,MCM9,-0.21232012723546,9.22587541194136e-8,0.107860747138445,ec,0.04681140191597024
ASF1B,POLD4,0.117411499517476,0.003388255360274,0.054372638203839,ec,0.02358988480818583
ASF1B,POLI,-0.166254717563313,3.13117405322985e-5,0.049335439889137,ec,0.021403017686314623
ASF1B,POLR2E,-0.141643900731734,3.99366636748e-4,0.043590108028675,ec,0.018908718958148156
ASF1B,REV3L,-0.183565916204152,4.13648280151408e-6,0.086325465246515,ec,0.0374619983413214
ASF1B,SHPRH,-0.17558264552604,1.07795128799692e-5,0.0826815360921,ec,0.03588001002869933
ASF1B,STK11,-0.130885879323207,0.001078667247558,0.039505605221799,ec,0.017135458439205057
ASF1B,TCP1,-0.184795824042417,3.55568950016079e-6,0.051559638846398,ec,0.022368639301397302
ASF1B,TNKS,-0.168596585640267,2.40849139299703e-5,0.044824793810397,ec,0.019444749817606074
ASF1B,TOP2B,-0.139393767368262,4.94537148579e-4,0.037235356225717,ec,0.016149844497124925
ASF1B,USP48,-0.102632471454661,0.010491453560642,0.038779384903484,ec,0.01682017457739588
ATF2,DCLRE1B,0.0770241485865,0.055058360374099,2.18927952499e-4,ec,7.940118669648951e-5
ATRIP,ACTR8,-0.201349446178071,4.2057990993083e-7,0.053671028764554,ec,0.02328528560058889
ATRIP,BAP1,-0.19509830000396,9.62355935454256e-7,0.079827373921113,ec,0.03464089395220845
ATRIP,CCNH,-0.146181621010109,2.5704133364e-4,0.046369090475942,ec,0.020115196243040385
ATRIP,CHEK1,-0.162281375038578,4.84783549354273e-5,0.057894323048352,ec,0.025118801543026197
ATRIP,DDB2,0.042996244527598,0.284710725353733,0.088834687882424,ec,0.03855136114601951
ATRIP,ERBB2,0.134887531049988,7.51624760133e-4,0.049134059346913,ec,0.021315589624272893
ATRIP,ODC1,-0.18002792167954,6.35661362998833e-6,0.048460919083191,ec,0.021023350125414005
ATRIP,RMI1,-0.09836224916967,0.014199162121083,0.045047546289358,ec,0.0195414563679782
ATRIP,SMARCC1,-0.163810135383764,4.10230542431287e-5,0.064818158142784,ec,0.028124739840328893
ATRIP,WDR48,-0.180013238938835,6.36784839338784e-6,0.0818556292681,ec,0.03552144791414786
ATRX,ANKRD44,0.162706170658749,8.51341479445379e-5,0.075554315154315,ec,0.03278577308081849
ATRX,CDKN1A,0.166616203854612,5.69212523870444e-5,0.08184751554605,ec,0.0355179253941122
ATRX,EYA1,0.17867422105566,1.55225269190757e-5,0.076594742953211,ec,0.03323746809140516
ATRX,POLH,0.135651043679145,0.001078002203514,0.055629537804547,ec,0.0241355596537163
ATRX,RAD50,-0.089662931165009,0.031136857854999,0.068453322767607,ec,0.029702923089023364
ATRX,RASSF7,-0.203412763049723,8.16270146244219e-7,0.149380436433639,ec,0.0648369069204003
ATRX,RPS27L,0.152315798385174,2.37421405941e-4,0.077051124664017,ec,0.03343560326418007
ATXN3,SMC1A,0.088238655057166,0.027895278200803,0.012884094291823,ec,0.00557790137074892
AUNIP,CDKN1A,0.160508745197334,5.87247090456004e-5,0.070378672004717,ec,0.030538801027850303
AUNIP,RPS27L,0.258421617917402,6.22476761373744e-11,0.068153042796827,ec,0.029572558478692536
AUNIP,SMARCB1,-0.167542265170855,2.71170206642223e-5,0.052233803163698,ec,0.02266132338650451
AUNIP,TIPARP,-0.059497285689203,0.138609317439764,0.043873998159999,ec,0.019031968025512477
BAP1,DCLRE1C,0.038930014481643,0.332772969661497,0.086868267634986,ec,0.037697652493264504
BAP1,EGFR,-0.069573440430773,0.083208110992164,0.092062566770949,ec,0.039952723922246657
BAP1,POLI,0.052101797901715,0.19475680394579,0.101231887194273,ec,0.04393352517542417
BAP1,UBD,-0.135358792913652,7.19852296262e-4,0.090631353338828,ec,0.03933137185239649
BARD1,CDKN1A,0.168345993306836,2.47749764099687e-5,0.063059864246623007,ec,0.0273613878990566
BARD1,MCM2,-0.14840912115073,2.0606959221e-4,0.073666060084278,ec,0.031965999335099915
BARD1,YBX1,-0.125716962026044,0.00169525004659,0.095838163966857,ec,0.041591875064869235
BAZ1A,KDM4C,0.056701442256464,0.158161659987051,0.044867675823568,ec,0.01946336676672432
BAZ1B,BRAT1,0.100477831909138,0.012238476462363,0.076959588867884,ec,0.03339586358935859
BAZ1B,COPS6,0.10006623900879,0.012600029582507,0.109433465459123,ec,0.04749418741945477
BAZ1B,MPG,0.088557419854248,0.027332903605907,0.038799609662821,ec,0.01682895502606568
BAZ1B,PIAS3,0.023389459612576,0.560723231742509,0.047863276161376,ec,0.020763887310038708
BCAS2,ABL1,-0.117576364757734,0.003343351053904,0.026137514820305,ec,0.011331788312519016
BCAS2,ACD,0.100264021571062,0.012425131705079,0.022601243797678,ec,0.009796539082637076
BCAS2,ACTR5,0.060077750674605,0.134793256885823,0.02275339603877,ec,0.009862594995621872
BCAS2,ACTR8,-0.148415741461787,2.05933313195e-4,0.054620097645706,ec,0.02369731772696452
BCAS2,ANKRD28,-0.100966100044173,0.011821485161988,0.023033515033106,ec,0.009984206848214034
BCAS2,ANKRD44,-0.173036849787417,1.45020711208765e-5,0.113265813971946,ec,0.04915797677985847
