gene,med,cv,sd,cvmod,r
TGFB1I1,0.0061664684984,2.0679813437914674,0.0311097629590448,2.021144082914529,0.3208311350389162
TGFB2,0.00236749770024,1.9434559718266216,0.012329629157867433,2.6316158787475956,0.12860564908583202
TGFB3,0.0100628044839,1.792552324249047,0.045348266970733936,2.1649087239988645,0.4351848544829794
TGFBI,4.78016574345e-4,2.6249389854346847,0.005318956691538036,2.83071736289295,0.07770000737882381
TGFBR1,0.0512557148241,1.5157348668640402,0.1971488249641451,2.4275550256182545,0.991282112352
TGFBR2,0.00345260282924,3.1336874567340893,0.0848899393742715,3.3528242506816652,0.762787295291
TGFBR3,0.0040779698814,2.003635707565168,0.01894126102681048,2.0404505616170394,0.2649388986451276
TGFBR3L,0.0226190653176,1.5851988966498562,0.07153706109938839,1.9512871571703427,0.6904857737257212
TGFBRAP1,0.185063565977,0.8965175976057993,0.2360408919880344,1.497282818910652,0.9993440845851961
TGIF1,0.013250344328199999,2.0377835360159864,0.18605852908912549,5.8952417646071424,0.958182926836
TGIF2,0.0158863971943,2.0808331399355766,0.10025606268487643,2.496742217983284,0.9232647866469559
TGIF2LX,0.001471913997095,3.976876930439886,0.02392057657486202,2.317051525685118,0.47104700507801617
TGM1,0.0424132695274,1.0872189200650453,0.07162090752550704,1.5794393265089683,0.512667602424565
TGM2,9.48278979867e-4,3.740918698870745,0.015479616467254419,2.820595199215677,0.26473163839708036
TGM3,0.00108123360386,2.6991641496626917,0.009721013823461,2.5463802043915136,0.17605252931098567
TGM4,0.00401867140792,1.4735344509590929,0.012155832839568328,2.0184062150028543,0.102339459099
TGM5,0.00612074986565,1.9216036393852602,0.02542912785157375,1.8386807239679381,0.32877921529431753
TGM6,7.32632540148e-4,3.1086900090767897,0.009440855437763643,2.559042693811091,0.09606401559701494
TGM7,0.00888591127402,1.7468384555216117,0.04035511603637175,2.4411135707184175,0.4692499621566204
TGOLN2,0.0703017424036,1.0419467171332382,0.10916271625179405,1.5771500772237226,0.6960567236114641
TGS1,0.85678591244,0.2038676523847486,0.16455292033125266,0.21859777101449004,0.9657185424925999
TH,0.00844451261889,1.686879701993984,0.03620253154003598,2.3666736896814546,0.3140909202674373
THADA,9.05175486304e-4,3.4988795695000365,0.011352908443329838,2.646745477114467,0.21847806368151243
THAP1,0.997651827754,0.09660934978882017,0.09350464158984648,0.018558095264238114,0.880995521907
THAP10,0.0174149125767,1.1973706255229795,0.03507095735952054,1.625833662246569,0.269519460245004
THAP11,0.78176000956,0.40019068031132365,0.2757335525507441,0.4806604449497111,0.999363006147236
THAP12,0.685229504649,0.35126948698819277,0.22550120607298377,0.4642280678105711,0.97236624806427
THAP2,0.00407581335122,2.0599910522448504,0.01517579811482429,1.548232317049346,0.3168294462623835
THAP3,0.0875698055778,1.0897706702213616,0.14442776212105632,1.5816327875245648,0.948471282787755
THAP4,0.00173293738463,2.8851262260300716,0.029224283973489844,3.7101522980132113,0.44371997829985715
THAP5,9.00427933394e-4,3.2894004901344305,0.012936659270098046,2.606394211719863,0.24134012858275644
THAP6,0.0247703728405,1.4348247536560337,0.0660758669244629,1.850861273373331,0.7590993275464247
THAP7,0.0291792787874,1.79534794592697,0.1382339585625537,2.1705305546368985,0.9971665310981828
THAP8,0.00353171974463,2.5359565676053557,0.028313071398292495,2.443164977985526,0.32374024735155105
THAP9,0.00208307461603,1.938724265742508,0.009932686535391028,2.0360121840248664,0.107270004794005
THBD,0.0276670534354,1.4187890559660274,0.07561628488674971,1.8358552198807958,0.6308781833159304
THBS1,0.0157525862196,1.2933825542063768,0.03653967416887043,1.600260694875924,0.28681855454581495
THBS2,0.0146026757712,1.6848271941931918,0.04811641304460828,1.7100092082437568,0.6459352753322286
THBS3,0.0162127833234,1.37526854739916,0.04383563223400417,2.0297365100447724,0.3308287287188147
THBS4,0.0079406188635,1.8875647024733913,0.03601202619535443,2.258278755137987,0.40612222314515545
THEG,0.0116168311893,1.8720460630331701,0.05059972373327834,2.296951971271424,0.5597986268882833
THEGL,0.100421927849,0.92404082001934,0.1259267044995449,1.2831159233484395,0.7940963944866091
THEM4,0.0483908895569,1.1174933274283594,0.08827149216815822,1.7174892042824481,0.672631327515155
THEM5,0.114769316502,0.9166292215966206,0.1414047360104748,1.3740129139555517,0.7714937550723909
THEM6,0.0333135805108,1.3413473226597714,0.082184181944336,1.8500145319990398,0.6512463252740701
THEMIS,1.78890333902e-4,2.735706910611461,0.00170370453522057,2.419023097950973,0.020529478710025837
THEMIS2,0.0503067595209,1.1215035733889962,0.0868955497072996,1.56761996063445,0.636109771482714
THG1L,0.899565182722,0.1700026136936621,0.14425714461328465,0.13615437938403505,0.863026774986
THNSL1,7.27878308036e-4,2.697427876494499,0.0054803531159882315,2.2419968659586544,0.09688450347481385
THNSL2,0.020008319947,1.4926170210770526,0.059368618967063795,2.0783046748652634,0.7060834015200832
THOC1,0.961208978692,0.10370452018886336,0.09672388465984944,0.05664358065411522,0.88235894736
THOC2,0.9530144937095,0.12836944939319536,0.11783821748642456,0.06323371722022231,0.9764477665741
THOC3,0.956932662115,0.07449412199458676,0.06976566696631019,0.051474662656127886,0.5225255144250001
THOC5,0.93472711993,0.11837148150675542,0.10686775947078259,0.08070518060142443,0.833639875321
THOC6,0.590053302827,0.4131222943292975,0.23417044628660794,0.6075560661001964,0.9828984141786401
THOC7,0.978011968214,0.034016617868828036,0.0330569366914941,0.023879963567981326,0.33472878910500004
THOP1,0.0655701739835,0.9930452062217426,0.09310511200477027,1.4036271145987784,0.680372182496476
THPO,0.00320149083216,2.7191631517055708,0.024910517891612017,2.1521432173683186,0.40885318810427496
THRA,0.0237699707376,1.593021081581597,0.07763591967930382,2.10012230439457,0.7994928001039934
THRAP3,0.030607875037,1.46349919660294,0.10473468566676226,2.703203135814933,0.7341457298850638
THRB,0.00386370998258,2.10384957518094,0.020396722998885612,2.1823554021436986,0.29451217839078764
THRSP,0.0290612368381,1.2244420472479491,0.06081723961175668,1.6856891025771912,0.47420877897742997
THSD1,0.00251324052428,2.1826371249236414,0.015264970965292578,2.298661900049951,0.17901188202273746
THSD4,0.00289628774163,2.086155388651028,0.014407094396276765,1.9941668922679308,0.2011938150190282
THSD7A,8.16258687006e-4,5.385276575811889,0.01940754737465559,2.7522728492278654,0.439253357497813
THTPA,0.0393292846901,1.1826258534594052,0.07716450091586304,1.637995894014217,0.795502895510774
THUMPD1,0.225929088757,0.6745062854659798,0.1749673126725441,1.0341308318438525,0.9328459620137
THUMPD2,0.0414377591335,1.1884717028082734,0.078025261245254,1.3908058196493547,0.742459427321524
THUMPD3,7.08895722331e-4,2.9886920687206766,0.008367513586001081,2.7378590452472342,0.11437032896379005
THY1,0.00418154434411,2.902446087622614,0.02914055365487272,1.8798063267276026,0.5969314113547428
THYN1,0.00244674922942,2.2264313700166736,0.017144578966635755,2.474874976471711,0.25853033939799763
TIA1,0.0091387635597,1.6048628974307124,0.03586582652303977,2.3258937433695652,0.2895762254829324
TIAF1,0.0821711673027,0.9527530936895959,0.108710751537684,1.2789044925280861,0.6823767541450491
TIAL1,0.0247629712431,1.6222784562880017,0.19267203873102579,5.440087228369117,0.89051613449
TIAM1,0.0228280553148,1.435732331222264,0.05959090852064399,1.7358345791377883,0.637894813414974
TIAM2,0.00347865097272,2.0370462015145585,0.019866829258640563,2.295461783553509,0.208543855520341
TICAM1,0.0272004306182,1.2828794080356876,0.06696015980826127,2.068132904824675,0.58481583756041
TICAM2,0.0392882418977,1.2544417010192597,0.08910638335377975,1.8130159272912114,0.5882478958565561
TICRR,0.971075431975,0.0417011009795768,0.040015160490924295,0.03743526822840667,0.276020884132
TIE1,0.133603972162,0.805555780492524,0.1396972212711775,1.3320300789037252,0.720730755511437
TIFA,0.00288626063015,1.6374455794200524,0.010587196324448742,2.0618058268184636,0.0994082122661432
TIFAB,0.0249076569753,1.4028070199878526,0.06826384039993215,1.8584248362261893,0.552341088048206
TIGAR,0.00346861324232,2.154811850916926,0.02083649596069442,2.4105651033775928,0.2903359905231645
TIGD1,0.471972259304,0.4901503416999601,0.22587686095998402,0.7789414292783715,0.95988187996211
TIGD2,0.00511610739541,1.5710533689492245,0.017497156905287175,2.024758148744813,0.145551080039671
TIGD3,0.0572325301028,1.1933620176877824,0.11799607517032713,1.9469720035852214,0.75301693900614
TIGD4,0.0336298432352,0.9569421847293188,0.046310631975334325,1.3434642058875272,0.432996743356511
TIGD5,0.0406153980446,1.3040870886423348,0.0885296084067923,1.715389480329446,0.613634744688023
TIGD6,0.0259104568955,1.3532673268848403,0.06134589640792566,1.579323211475555,0.5048795884570548
TIGD7,0.0179860351202,1.409367787977754,0.052367554058680044,2.0593266280488693,0.3738484032756738
TIGIT,0.0363832654566,1.1110482394825583,0.06390941799051793,1.6236181104597394,0.5626450881235115
TIMD4,3.06420993648e-4,2.4110241718553387,0.0023649875759019774,2.2895118683868905,0.030441973230459777
TIMELESS,0.997848643071,0.022674005231613392,0.022498825572044717,0.008464750819327342,0.463980257242
TIMM10,0.995654629634,0.03551628683064436,0.034972412127207426,0.015553268271039441,0.356711105989
TIMM10B,0.00318013819861,4.914440498036666,0.06929396204356181,2.2778085818899805,0.9691146769727761
TIMM13,0.906845244185,0.176754573806247,0.14982621848674202,0.19387599886021228,0.833686504541
TIMM17A,0.20133947763,0.9180142440549746,0.2841385709947067,1.777063222047359,0.998828348243441
TIMM17B,0.004976602806015,2.2536655094246743,0.027713992320295235,2.07767128277704,0.5242096599825606
TIMM21,0.00136080993745,4.01918573552457,0.030238541266840713,2.9731061906620266,0.5357784027761282
TIMM22,0.621170946597,0.38523775323540277,0.2327708231291694,0.5723602992875667,0.99556457653465
TIMM23,0.9127756736,0.13428889731473626,0.11764600928838015,0.09919724777161282,0.797141215339
TIMM23B,0.0110528957842,1.568200381584165,0.04003270471267831,2.387010098857058,0.3649166487944814
